Query,Key Match Count,Value Match Count,Gemma Unique Keys,QMeans Unique Keys,Gemma Unique Values,QMeans Unique Values,Key Match %,Value Match %,Gemma: Value - Keys,QMeans: Value - Keys,Matched Keys,Matched Values,Gemma Only Keys,QMeans Only Keys
2285625342 statorhv 2030,0,1,9,1,3,1,0.0%,33.3%,2285625342 - model_number | model_name | model | model_no |||| StatorHV - model_type | model_name | model | model_no |||| 2030 - size | dimension | frame_size | mounting_type,2285625342 - product number,,2285625342,dimension | frame size | model | model name | model no | model number | model type | mounting type | size,product number
230v apex cool 410w exhaust fan motor,3,2,17,4,4,4,17.6%,50.0%,230V - voltage | operating_voltage | supply_voltage | rated_voltage | power_source |||| Apex Cool - brand | company | manufacturer | make |||| 410W - power | wattage | motor_power | power_rating |||| Exhaust Fan Motor - type | motor_type | product_type | device_type,230v - voltage |||| 410w - power |||| apex - brand |||| exhaust fan - usage,brand | power | voltage,230v | 410w,company | device type | make | manufacturer | motor power | motor type | operating voltage | power rating | power source | product type | rated voltage | supply voltage | type | wattage,usage
23a paramoon motor starter,2,2,8,3,2,3,25.0%,100.0%,23A - current | current_rating | rated_current | input_current |||| Paramoon - brand | company | manufacturer | make,23a - current |||| motor starter - usage |||| paramoon - brand,brand | current,23a | paramoon,company | current rating | input current | make | manufacturer | rated current,usage
24  v 10 bldc 50w 24v 3000rpm,0,0,0,4,0,4,N/A,N/A,,24 v - voltage |||| 3000rpm - speed |||| 50w - power |||| bldc - motor type,,,,motor type | power | speed | voltage
24 inch three phase 4 exhaust fan fibre,2,3,12,4,4,4,16.7%,75.0%,24 inch - size | dimension | frame_size |||| Three Phase - number_of_poles | no_of_poles | poles |||| 4 Exhaust Fan - exhaust_fan_type | fan_type | motor_type |||| Fibre - material | body_material | material_type,24 inch - size |||| exhaust fan - usage |||| fibre - material |||| three phase - phase,material | size,24 inch | fibre | three phase,body material | dimension | exhaust fan type | fan type | frame size | material type | motor type | no of poles | number of poles | poles,phase | usage
24v dc coffee machine motor,2,2,8,2,2,2,25.0%,100.0%,24V DC - voltage | operating_voltage | supply_voltage | rated_voltage |||| Coffee Machine - usage_application | application | usage | suitable_for,24v dc - voltage |||| coffee machine - usage,usage | voltage,24v dc | coffee machine,application | operating voltage | rated voltage | suitable for | supply voltage | usage application,
25 Amp Motor Starter Fresh Material,1,1,8,2,2,2,12.5%,50.0%,25 Amp - current | current_rating | rated_current | input_current |||| Fresh Material - material | body_material | material_type | casing_material,25 amp - current |||| motor starter - usage,current,25 amp,body material | casing material | current rating | input current | material | material type | rated current,usage
270Hp Siemens Motor,1,2,7,2,2,2,14.3%,100.0%,270Hp - horsepower | horse_power | hp |||| Siemens - brand | company | manufacturer | make,270hp - power |||| siemens - brand,brand,270hp | siemens,company | horse power | horsepower | hp | make | manufacturer,power
2800  rpm 4 abb electric motor,2,2,8,3,2,3,25.0%,100.0%,2800 RPM - speed | rpm | motor_speed | rated_speed |||| ABB - brand | company | manufacturer | make,2800 rpm - speed |||| abb - brand |||| electric - power source,brand | speed,2800 rpm | abb,company | make | manufacturer | motor speed | rated speed | rpm,power source
2800  rpm 4 foot  mounted abb electric motor,2,2,15,3,4,3,13.3%,50.0%,2800 RPM - speed | rpm | motor_speed | rated_speed |||| 4 Foot - size | dimension | frame_size |||| Mounted - mounting_type | mounting | mounting_style | mounting_method |||| ABB - brand | company | manufacturer | make,2800 rpm - speed |||| abb - brand |||| electric - power source,brand | speed,2800 rpm | abb,company | dimension | frame size | make | manufacturer | motor speed | mounting | mounting method | mounting style | mounting type | rated speed | rpm | size,power source
2800 rpm foot mounted abb electric motor,3,3,12,4,3,4,25.0%,100.0%,2800 RPM - speed | rpm | motor_speed | rated_speed |||| ABB - brand | company | manufacturer | make |||| Foot Mounted - mounting_type | mounting | mounting_style | mounting_method,2800 rpm - speed |||| abb - brand |||| electric - power source |||| foot mounted - mounting type,brand | mounting type | speed,2800 rpm | abb | foot mounted,company | make | manufacturer | motor speed | mounting | mounting method | mounting style | rated speed | rpm,power source
2hp motor,0,1,4,2,1,2,0.0%,100.0%,2HP - horsepower | horse_power | hp | motor_horsepower,2hp - power |||| motor - part type,,2hp,horse power | horsepower | hp | motor horsepower,part type | power
2hp single phase motor cg model gf7010,1,2,12,3,3,3,8.3%,66.7%,2HP - horsepower | horse_power | hp | motor_horsepower |||| CG Model GF7010 - model_number | model_name | model | model_no |||| Single Phase - phase | phase_type | number_of_phase | input_phase,2hp - power |||| gf7010 - model name/number |||| single phase - phase,phase,2hp | single phase,horse power | horsepower | hp | input phase | model | model name | model no | model number | motor horsepower | number of phase | phase type,model name/number | power
2hp single phase motor near kolkata cg model no gf7010,1,3,10,3,4,3,10.0%,75.0%,Single Phase - power_source | power_supply | power_type |||| 2HP - power | wattage | motor_power |||| GF7010 - model_number | model_name | model | model_no |||| CG - model_no | model_number | model_name | model,2hp - power |||| gf7010 - model name/number |||| single phase - phase,power,2hp | gf7010 | single phase,model | model name | model no | model number | motor power | power source | power supply | power type | wattage,model name/number | phase
3 HP 3 Phase Induction Motor 100%copper Winding,0,0,10,2,3,2,0.0%,0.0%,3 HP - horsepower | horse_power | hp | motor_horsepower |||| 100%copper Winding - number_of_poles | no_of_poles | poles |||| 3 Phase - phase | phase_type | number_of_phase,3 hp 3 - rated power |||| induction - motor type,,,horse power | horsepower | hp | motor horsepower | no of poles | number of phase | number of poles | phase | phase type | poles,motor type | rated power
3 HP Three Phase Induction Motor 960 Rpm,1,3,9,4,3,4,11.1%,100.0%,Three Phase - power_source | power_supply | power_type |||| 960 Rpm - speed | rpm | motor_speed |||| 3 HP - horsepower | horse_power | hp,3 hp - rated power |||| 960 rpm - speed |||| induction - motor type |||| three phase - no of phase,speed,3 hp | 960 rpm | three phase,horse power | horsepower | hp | motor speed | power source | power supply | power type | rpm,motor type | no of phase | rated power
3 Phase Electric Motor,1,1,4,2,1,2,25.0%,100.0%,3 Phase - phase | phase_type | number_of_phase | input_phase,3 phase - phase |||| electric - power source,phase,3 phase,input phase | number of phase | phase type,power source
3 Phase Motor Starter,1,1,4,2,1,2,25.0%,100.0%,3 Phase - phase | phase_type | number_of_phase | input_phase,3 phase - phase |||| motor starter - usage,phase,3 phase,input phase | number of phase | phase type,usage
3 phase 15hp motor starter,1,2,8,3,2,3,12.5%,100.0%,3 Phase - phase | phase_type | number_of_phase | input_phase |||| 15HP - horsepower | horse_power | hp | motor_horsepower,15hp - power |||| 3 phase - phase |||| motor starter - usage,phase,15hp | 3 phase,horse power | horsepower | hp | input phase | motor horsepower | number of phase | phase type,power | usage
3 phase 2 piece l&t Motor Starter,2,3,11,4,3,4,18.2%,100.0%,3 Phase - phase | phase_type | number_of_phase | input_phase |||| L&T - brand | company | manufacturer | make |||| 2 Piece - number_of_poles | no_of_poles | poles,2 piece - set contains |||| 3 phase - phase |||| l&t - brand |||| motor starter - usage,brand | phase,2 piece | 3 phase | l&t,company | input phase | make | manufacturer | no of poles | number of phase | number of poles | phase type | poles,set contains | usage
3 phase 40 hp oil starter,0,2,9,2,3,2,0.0%,66.7%,3 Phase - power_source | power_supply | power_type |||| Oil Starter - starter_type | starting_method | starter |||| 40 HP - capacity | load_capacity | weight_capacity,3 phase - phase |||| 40 hp - power,,3 phase | 40 hp,capacity | load capacity | power source | power supply | power type | starter | starter type | starting method | weight capacity,phase | power
3 phase 415 V 0.09KW Motor,2,2,12,2,3,2,16.7%,66.7%,3 Phase - phase | phase_type | number_of_phase | input_phase |||| 415 V - voltage | operating_voltage | supply_voltage | rated_voltage |||| 0.09KW - power | wattage | power_rating | motor_power,0.09kw - power |||| 415 v - voltage,power | voltage,0.09kw | 415 v,input phase | motor power | number of phase | operating voltage | phase | phase type | power rating | rated voltage | supply voltage | wattage,
3 phase auto starter,1,1,7,1,2,1,14.3%,50.0%,3 Phase - phase | phase_type | number_of_phase | input_phase |||| Auto Starter - starter_type | starting_method | starter,3 phase - phase,phase,3 phase,input phase | number of phase | phase type | starter | starter type | starting method,
3 phase dol motor starter,2,1,7,3,2,3,28.6%,50.0%,3 Phase - phase | phase_type | number_of_phase | input_phase |||| DOL Motor Starter - starter_type | starting_method | starter,3 phase - phase |||| dol - starter type |||| motor starter - usage,phase | starter type,3 phase,input phase | number of phase | phase type | starter | starting method,usage
3 phase motor start,1,1,7,2,2,2,14.3%,50.0%,3 Phase - phase | phase_type | number_of_phase | input_phase |||| Start - starter_type | starting_method | starter,3 phase - phase |||| motor - usage,phase,3 phase,input phase | number of phase | phase type | starter | starter type | starting method,usage
3 phase motor starter near jodhpur oil free,1,1,12,2,3,2,8.3%,33.3%,3 Phase - phase | phase_type | number_of_phase | input_phase |||| Near Jodhpur - location | location_type | usage_location | suitable_for |||| Oil Free - type | motor_type | product_type | device_type,3 phase - phase |||| motor starter - usage,phase,3 phase,device type | input phase | location | location type | motor type | number of phase | phase type | product type | suitable for | type | usage location,usage
3 phase motor starter near jodhpur oil freee automatic,1,2,14,3,4,3,7.1%,50.0%,3 Phase - phase | phase_type | number_of_phase | input_phase |||| Near Jodhpur - location | location_type | usage_location | suitable_for |||| Automatic - automation_grade | operation_mode | working_mode |||| Oil Freee - power_source | power_supply | power_type,3 phase - phase |||| automatic - starter type |||| motor starter - usage,phase,3 phase | automatic,automation grade | input phase | location | location type | number of phase | operation mode | phase type | power source | power supply | power type | suitable for | usage location | working mode,starter type | usage
3 phase motor starter near jodhpur without oilautomatic,2,1,16,2,4,2,12.5%,25.0%,3 Phase - phase | phase_type | number_of_phase | input_phase |||| Automatic - starter_type | starting_method | starter | automation_grade |||| Near Jodhpur - location | usage_application | application | usage |||| Without Oil - material | body_material | material_type | casing_material,3 phase - phase |||| motor starter - usage,phase | usage,3 phase,application | automation grade | body material | casing material | input phase | location | material | material type | number of phase | phase type | starter | starter type | starting method | usage application,
3 phase motor starter oil free,2,1,8,2,2,2,25.0%,50.0%,3 Phase - phase | phase_type | number_of_phase | input_phase |||| Oil Free - usage_application | application | usage | suitable_for,3 phase - phase |||| motor starter - usage,phase | usage,3 phase,application | input phase | number of phase | phase type | suitable for | usage application,
3 phase motor starter oil free automatic,2,2,10,3,3,3,20.0%,66.7%,3 Phase - number_of_phase | phase | number_of_poles | input_phase |||| Automatic - starter_type | starting_method | starter |||| Oil Free - insulation_class | insulation_type | winding_insulation,3 phase - phase |||| automatic - starter type |||| motor starter - usage,phase | starter type,3 phase | automatic,input phase | insulation class | insulation type | number of phase | number of poles | starter | starting method | winding insulation,usage
3 phase motor starter without oil automatic,3,2,11,3,3,3,27.3%,66.7%,3 Phase - phase | phase_type | number_of_phase | input_phase |||| Automatic - starter_type | starting_method | starter |||| Without Oil - usage_application | application | usage | suitable_for,3 phase - phase |||| automatic - starter type |||| motor starter - usage,phase | starter type | usage,3 phase | automatic,application | input phase | number of phase | phase type | starter | starting method | suitable for | usage application,
3-phase-motor-starter,1,0,8,1,2,1,12.5%,0.0%,3-Phase - phase | phase_type | number_of_phase | input_phase |||| Motor Starter - starter_type | starter | starting_method | device_type,3-phase-motor-starter - phase,phase,,device type | input phase | number of phase | phase type | starter | starter type | starting method,
3.7 kw crompton greaves induction motor,1,1,7,3,2,3,14.3%,50.0%,3.7 KW - power_source | power_supply | power |||| Crompton Greaves - brand | company | manufacturer | make,3.7 kw - rated power |||| crompton - brand |||| induction motor - motor type,brand,3.7 kw,company | make | manufacturer | power | power source | power supply,motor type | rated power
