"fk_im_spec_master_desc","fk_im_spec_options_desc"
Brand,Hulk Lokpal
Automation Grade,Fully Automatic
Usage/Application,Laundry
Machine Type,Twin Screw Extruder
Material To Be Extruded,Aluminium
Brand,Turbo
Type,Horizontal
Frequency,"50 Hz"
Capacity,"100 kg - 500 kg"
Machine Type,Horizontal Basket Extruder
Operation Mode,Semi Automatic
Usage/Application,Pharma Lab
Capacity,"48 samples"
Material,JSL 304 ss grade
Type Of Testing Machines,Bitumen Extractor
Brand,Heaven Extrusions
Machine Type,Twin Screw Extruder
Capacity,"1500 gms"
Screw Design,Co rotating
Machine Type,Twin Screw Extruder
Machine Type,Twin Screw Extruder
Machine Type,Twin Screw Extruder
Machine Type,Automatic
Automation Grade,Automatic
Capacity,"14 to 60 kg per batch"
Machine Type,Twin Screw Extruder
Machine Type,Twin Screw Extruder
Capacity,"50 MT"
Machine Type,Twin Screw Extruder
Plastic Processed,PVC
Screw Design,Bimetallic
Machine Type,Twin Screw Extruder
Material,Stainless Steel Body
Surface Finish,Painted
Type Of Testing Machines,Bitumen
Automation Grade,Semi-Automatic
Capacity,"25"
Machine Type,Twin Screw Extruder
Automation Grade,Manual
Machine Type,Automatic
Machine Type,Tube Extrusion Machine
Industry Type,Commercial
Capacity,"20 LTRS TO 500 LTRS"
Plastic Processed,PVC
Power Consumption,"25 KW"
Type Of Testing Machines,Electric
Capacity,"3000gms"
Automation Grade,Automatic
Capacity,Depends on Press capacity
Power Consumption,"60HP"
No of position,"144"
No of position,"96 position"
Production Capacity,"100 kg/hr"
Capacity,"100 TPD"
Production Capacity,"200 kg/hr"
Production Capacity,"200 kg/hr"
Production Capacity,"300 kg/hr"
Capacity(kg),"5 kg"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity,"200 TPD"
Production Capacity,"300 kg/hr"
Capacity,"500 TPD"
Capacity,"100 kg/hr"
Production Capacity,"1000 kg/hr"
Production Capacity,"100 kg/hr"
Production Capacity,"500 kg/hr"
Production Capacity,"500 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"2000 TPD"
Capacity,"100 TPD"
Capacity,"10 TPD"
Capacity(kg),"10"
Capacity,"250 kg/hr"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"50 TPD"
Production Capacity,"300 kg/hr"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity(kg),"5 kg"
Production Capacity,"100 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"250 Liter"
Production Capacity,"100 kg/hr"
Production Capacity,"500 kg/hr"
Production Capacity,"50 kg/hr"
Capacity,"50 TPD"
Capacity,"100 TPD"
Capacity,"2000 TPD"
Capacity,"100 TPD"
Production Capacity,"100 kg/hr"
Production Capacity,"50 kg/hr"
Production Capacity,"50 kg/hr"
Production Capacity,"500 kg/hr"
Production Capacity,"100 kg/hr"
Capacity(kg),"50"
Capacity,"100 TPD"
Capacity,"200 TPD"
Capacity,"500 TPD"
Production Capacity,"100 kg/hr"
Capacity,"2000 TPD"
Production Capacity,"1000 kg/hr"
Capacity,"100 TPD"
Capacity,"100 TPD"
Production Capacity,"200 kg/hr"
Production Capacity,"400 kg/hr"
Capacity(kg),"10"
Capacity,"2kg"
Capacity,"2KG"
Production Capacity,"50 kg/hr"
Production Capacity,"100 kg/hr"
Production Capacity,"500 kg/hr"
Production Capacity,"100 kg/hr"
Capacity,"30 kg"
Length,"3000 mm"
Production Capacity,"100 kg/hr"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity(kg),"10"
Capacity(kg),"5 kg"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity,"10 TPD"
Production Capacity,"200 kg/hr"
Production Capacity,"200 kg/hr"
Capacity,"20 kg"
Production Capacity,"200 kg/hr"
Capacity,"5 kg"
Capacity,"10 TPD"
Capacity,"100 TPD"
Production Capacity,"50 kg/hr"
Capacity,"50 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Production Capacity,"100 kg/hr"
Capacity,"10 TPD"
Capacity,up to 250 kg
Production Capacity,"100 kg/hr"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity,"100 TPD"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity,"10 TPD"
Capacity,"10 Kg"
Capacity(kg),"20"
Automation Grade,Semi Automatic
Production Capacity,"100 kg/hr"
Production Capacity,"400 kg/hr"
Production Capacity,"200 kg/hr"
Capacity,"30 TPD"
Capacity,"100 TPD"
Capacity(kg),"20 kg"
Capacity(kg),"10"
Production Capacity,"500 kg/hr"
Capacity,"100 kg"
Production Capacity,more than 1000 kg/hr
Capacity,"10 TPD"
Capacity,"2000 TPD"
Capacity,"100 TPD"
Capacity,"10 TPD"
Production Capacity,"500 kg/hr"
Production Capacity,"200 kg/hr"
Production Capacity,"1.50 ton in a day"
Capacity,"2000 TPD"
Capacity,"10 TPD"
Production Capacity,"500 kg/hr"
Capacity,"200 ltr"
Capacity,"5 kg"
Capacity,"15 kg"
Production Capacity,"350 kg/hr"
Capacity,"100 TPD"
Production Capacity,"3MT - 5MT"
Capacity(kg),"20"
Capacity,"1 TPD"
Capacity,"1 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"200 TPD"
Capacity,"200 TPD"
Capacity,"200 TPD"
Capacity,"40 TPD"
Capacity,"100 TPD"
Capacity,"2kg"
Capacity,"5 kg"
Capacity,"5 kg"
Capacity,"1"
Capacity,"1"
Capacity,"1"
Capacity,"1"
Capacity,"1"
Capacity,"5 kg"
Capacity,"10 kg"
Capacity,"100 TPD"
Capacity,"100 TPD"
Production Capacity,"100 kg/hr"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"100 TPD"
Capacity,"10 TPD"
Capacity,"100 TPD"
Capacity,"10 TPD"
Capacity,"100 TPD"
Capacity(kg),"5 kg"
Production Capacity,"100 kg/hr"
Production Capacity,"100 kg/hr"
Capacity(kg),"10 kg"
Production Capacity,"200 kg/hr"
Capacity,"5 metric tonne"
Plastic Processed,PVC
Screw Design,Conical
Machine Type,Twin Screw Extruder
Plastic Processed,PVC
Screw Design,CONICAL
Machine Type,Twin Screw Extruder
Screw Design,PVC PIPE AND PROFOLE
Screw Type,Bimetallic
Machine Type,Twin Screw Extruder
Capacity,"20 KG"
Power Consumption,"50Kw."
Frequency,"40Hz"
Screw Design,segmented
Machine Type,Twin Screw Extruder
Machine Type,Tube Extrusion Machine
Production Capacity,"500kg/shift"
Automation Grade,Automatic
Machine Type,Twin Screw Extruder
Machine Type,Tube Extrusion Machine
Machine Type,Continuous Extrusion Machine
Power Type,Electric
Diameter,"60 mm"
Size,"65/132"
Industry Type,Commercial
Machine Type,Continuous Extrusion Machine
Machine Type,Continuous Extrusion Machine
Machine Type,Twin Screw Extruder
Material,Mild Steel
Type,Yarn Extruder
Type,Fully Automatic
Machine Type,Twin Screw Extruder
Material,MS
Material,MS
Capacity,"20kg"
Type Of Testing Machines,Civil Laboratory
Machine Type,Pipe Extrusion Machine
Machine Type,Twin Screw Extruder
Machine Type,Twin Screw Extruder
Type,Fully Automatic
Type,Fully Automatic
Material To Be Extruded,Plastic
Machine Type,Blown Film Extrusion Machine
Material,Polypropylene
Brand,Heaven Extrusions
Material To Be Extruded,Alumunium
Machine Type,Continuous Extrusion Machine
Automation Grade,Semi-Automatic
Material,Mild Steel
Machine Type,Twin Screw Extruder
Plastic Processed,PVC
Screw Design,CONICAL
Machine Type,Automatic
Power Source,Electric
Voltage,"340 V"
Material to be Extruded,Plastic
Output,"100-200 kg/hr"
Capacity,upto 25 Kg
Phase,Single Phase
Machine Power,"0-40 kw"
Voltage,"440 V"
Warranty,"12 Months"
Country of Origin,Made in India
Automatic Grade,Semi-Automatic
Voltage Supply (V),"230 V"
Design Type,Standard
Country of Origin,Made in India
Voltage,"230VAC"
Country of Origin,Made in India
Voltage,"440 V"
Automation Grade,Semi Automatic
Material,"SS316,304MS"
Automation Grade,Semi-Automatic
Installation Services,Yes
Installation Services,Yes
Material To Be Extruded,Plastic
Installation Services,Yes
Automation Grade,Manual
Voltage,"415 V"
Warranty,"1 year"
Line Speed,"1750 RPM"
Automatic Grade,Semi-Automatic
Voltage,"1000"
Body Material,ss
Phase,Single  or triple
Capacity,"3tons"
Frequency (Hz),"50 - 60 Hz"
Phase,Three Phase
Usage/Application,Industrial
Usage/Application,Industrial
Body Material,MS
Output,"50-100 kg/hr"
Average Productivity,"75 kg/hr"
Capacity,"800 kg per day"
Production Capacity,"8-12kg/h"
Voltage,"360 V"
Phase,Three
Phase,Three Phase
Voltage,"440 V"
Installation Services,Free
Automatic Grade,Automatic
Material,Cast Iron
Phase,Single Phase
Voltage (Volt),"415 V"
I Deal In,New Only
Screw Torque,"30 Nm"
Driven Type,Electric
Automation Grade,Automatic
Body Material,PPH
Country of Origin,Made in India
Screw Torque,"60 Nm"
Automation Grade,Automatic
Phase,"1 Phase"
Phase,Three Phase
Operation Mode,Semi-Automatic
I Deal In,New Only
Power,Up To 40 Kw
Capacity,as per need
Phase,Single Phase
Pressure,Customized
Voltage (V),"240"
Power (V),"240"
Average Productivity (kg/Hour),"200"
Weight (kg),"1500"
Diameter (Millimeter),"20 to 315 mm"
I Deal In,New Only
Body Material,Mild Steel
Automation Grade,Automatic
Brand,EIE
Voltage,"220V"
Country of Origin,Made in India
Material,"Glass, Titanium, PPh"
Phase,single
Packaging Type,wooden packing
Purity,"99.99"
Weight,"700"
Capacity,"250 L"
Output,"150-170 Kg/Hour"
Material,SS
Automatic Grade,Automatic
Output,"50-100 kg/hr"
Material,Mild Steel (body material)
Frequency,"50 - 60 Hz"
Purity (%),"100"
Condition,New
Material,Steel / Cast Iron
Automation Grade,Semi-Automatic
Power Source,Electric
Pressure,"10-20 bar"
Material,Mild Steel
Power (kW),"5kw"
Installation Services,Yes
Purity,"99.95-99.99"
Voltage,"380 V"
I Deal In,New Only
Country of Origin,Made in India
Body Material,Mild Steel
Body Material,Mild Steel
Automation Grade,Automatic
Voltage,"220 V"
Filter Diameter (Millimeter),"400 mm"
Voltage (Volt),"220 V"
Material,MS
Frequency,"50 Hz"
Usage/Application,Industrial
Output,"20 - 80"
Control Type,CNC
Automatic Grade,Semi-Automatic
Body Material,Mild Steel
Capacity,"4 Ton"
Voltage (Volt),"440"
Brand,Teknik
Production Capacity,Customized
Output,"220-240 (Kg/Hour)"
Capacity,"1500 grams"
Output(kg/hr),"300-350  "
Operation Mode,Automatic
Phase,Three Phase
Material To Be Extruded,Plastic
Material,Stainless Steel
Capacity,"10 Ton"
Automation Grade,Automatic
Automation Grade,Automatic
Output,"0-50 kg/hr"
Machine Power,"0-40"
Body Material,PU
Phase,SINGLE
Installation Services,Yes
Material,Mild Steel
Color,Blue
Voltage,"230V"
Installation Services,Yes
Body Material,steel
Capacity,"1kg"
Material,Steel
Weight,"2-8 Ton"
Power,Electric
Screw Torque,"6000 ft/lbs"
Automation Grade,Automatic
Usage/Application,Industrial
Voltage,"440 V"
Output,"300-350 kg/hr"
Color,Green Blue
Usage/Application,Aluminium Extrusion
Country of Origin,Made in India
Material To Be Extruded,Plastic
Usage/Application,Industrial
Warranty,"1 year"
Phase,Single Phase
Phase,"3 Phase"
I Deal In,New Only
Voltage,"200 V"
Material,PVC & HDPE
Automation Grade,Automatic
Voltage,"440V"
Design Type,PILOT
Dimension,"1500MM*3000MM*6000MM*"
Steam Supply,Boiler
Installation Services,Yes
Brand,Elpie
Purity,"99.9% Pure"
Automation Grade,Automatic
Body Material,MS
Body Material,SS
Power,"5 Kw"
Voltage,"440 V"
Usage/Application,Industrial
Body Material,MS / SS
Color,SS
Country of Origin,Made in India
Phase,single Phase
Size,"2250X540X1160mm. (LXWXH)"
Frequency,"50 Hz."
Phase,Three Phase
Voltage,"440 V"
Country of Origin,Made in India
Usage/Application,MultiSeed Oil Extraction
Color,Blue
Temperature,"200 Degs"
Finishing,Clear
Installation Services,Yes
Country of Origin,Made in India
Installation Services,Yes
Automation Grade,As Per Client Requirement.
Automation Grade,Semi-Automatic
Usage/Application,Industrial
Body Material,Mild Steel
Installation Services,Yes
Power Source,Electric
Phase,Three Phase
Material,BOROSILICATE GLASS
Installation Services,Yes
Frequency,"50 HZ"
Power Source,Electric
Automatic Grade,Automatic
Automatic Grade,Semi-Automatic
Voltage,"415 V"
Brand,sritech
Automation Grade,Automatic
Usage/Application,Industrial
Country of Origin,Made in India
Usage/Application,Industrial
Power Source,Electric
Voltage,"440V"
Surface Treatment,Paint Coated
Phase,Single Phase
Voltage,"440 V"
Automation Grade,Automatic
Line Speed,"400 rpm"
Automation Grade,Semi-Automatic
Material To Be Extruded,Noodle
Automation Grade,Semi Automatic
Usage/Application,Industrial
I Deal In,New Only
Material To Be Extruded,Plastic
Frequency,"50 Hz"
Usage/Application,Industrial
Material To Be Extruded,Plastic
Voltage,"220 V"
Warranty,"1 Year"
I Deal In,New Only
Warranty,"1 Year"
Machine Body Material,Stainless Steel
Size/Dimension,"800x800x1650mm (LxWxH)"
Automation Grade,Automatic
Model Name/Number,SJPS135
Voltage,"380v"
Installation Services,Yes
I Deal In,New Only
Automation Grade,Automatic
Usage/Application,Industrial
Color,BLUE
Voltage,"230V"
Automation Grade,Automatic
Country of Origin,Made in India
Phase,"3 Phase"
Material,MS
Power,"230 V AC"
Brand,NATH JI
Material To Be Extruded,Plastic
Phase,Three Phase
Usage/Application,Industrial
Voltage,"440 V"
Usage/Application,Industrial
Country of Origin,Made in India
Material,Mild Steel
Power Source,Electric
Frequency,"50hz"
Dryer Type,Electric Dryer
Automation Grade,Automatic
Phase,Single Phase
Automation Grade,Manual
Phase,Three Phase
Country of Origin,Made in India
Country of Origin,Made in India
Power Source,Electric
Material,Mild Steel
Voltage Supply,"110 to 240V"
Material To Be Extruded,Plastic
Usage/Application,Industrial
Phase,Three Phase
Material To Be Extruded,Plastic
Phase,Three Phase
Voltage,"220-380 V"
Phase,Three Phase
Voltage,"440 V"
Phase,"3 phase"
Installation Services,Yes
Phase,"1 Phase"
Brand,Rupson
Driven Type,gear box
Automation Grade,Manual
Hand Operated,Yes
Installation Services,Yes
Country of Origin,Made in India
Material,"SS316, SS304"
Design Type,Standard
Brand,"Royle Extrusion Systems Pvt. Ltd., Pune"
Machine Type,"Extruder for XLPE, EPR"
Body Material,"MS frame, Alloy steel barrel and screw"
Output,"50-100 kg/hr"
Phase,"3 Phase"
Automation Grade,Automatic
Phase,Three Phase
Country of Origin,Made in India
Material,Stainless Steel
Capacity,"1500 gms."
Automation Grade,Automatic
Frequency,"50Hz"
Usage/Application,Bitumen Material Testing
Automation Grade,Manual
Hand Operated,Yes
Brand,POPULAR
Phase,Three Phase
Power,"0.75kW"
Weight,"800kg"
Voltage,"220 V"
Country of Origin,Made in India
Voltage,"200 V"
Operation Mode,Manual
Power Source,on request
Average Electricity Consumption,depends on material
Min Finish Wire Diameter,depends on material
Design Type,on request
Output,"50-100 kg/hr"
Installation Services,Yes
Speed,"1440 RPM"
Phase,Three Phase
Die Size,"65/100 mm"
Brand,NAVEEN
Steel Grade,"304"
Capacity,"200 Litre"
Frequency,"50 Hz"
Voltage,"280 V"
Installation Services,Yes
Motor Power,"5kw"
Material,Mild Steel
Country of Origin,Made in India
Country of Origin,Made in India
Automation Grade,Automatic
Brand,Shubham Extrusion
Color,BLUE
Phase,Three Phase
Automation Grade,Automatic
Capacity,"1-2"
Installation Services,Yes
Dimension,Silver Refining Plant
Voltage,"440 Volts"
Installation Services,Yes
Country of Origin,Made in India
Country of Origin,Made in India
Automation Grade,Automatic
Phase,Three Phase
Voltage,"440 V"
Usage/Application,Industrial
Machine Type,Fully Automatic
Brand,Ashok Industries
Country of Origin,Made in India
Material,Stainless Steel And Mild Steel
Phase,Three Phase
Voltage,"440 V"
Dimension,"25 x 25"
Dimension,"10 x 10"
Installation Services,Yes
Phase,"3 Phase"
Voltage,"440 V"
Automatic Grade,Automatic
Automation Grade,Automatic
Country of Origin,Made in India
Brand,Shubham Extrusion
Automatic Grade,Automatic
Body Material,Stainless Steel
Frequency,"20 Hz"
Country of Origin,Made in India
Frequency,"50/60"
Power Source,Electrical
Usage/Application,Extraction of Herbal Products
Speed (rpm),"1500 rpm"
Installation Services,Yes
Frequency,"50/60hz"
Body Material,ms
Driven Type,Electric
Power,"7.5 kW"
Color,SILVER
Body Material,P.P
Power Source,electric
Sheet Thickness,as per plant
Material,stainless steel
Phase,single phase
Purity,"999"
Purity,"9999"
Installation Services,Yes
Power Source,Electric
Pressure,"10 Bar"
Installation Services,Yes
Brand,Ek Danta Refiners
Automation Grade,Semi-Automatic
Operation Mode,Automatic
Country of Origin,Made in India
I Deal In,New Only
Country of Origin,Made in India
Frequency,"50-60 Hz"
Voltage,"220 Volt"
Purity (%),"999+"
Material,Mild Steel
Automation Grade,Automatic
Brand,EDR
Country of Origin,Made in India
Line Speed,"100"
Automation Grade,Semi-Automatic
Color,Blue
Power,"1 HP"
Machine Power,"20 HP"
Voltage,"220 V"
Voltage,"220 V"
Country of Origin,Made in India
Machine Type,Automatic
Material,"Brass, Copper"
Installation Services,Yes
Phase,Three Phase
Phase,Three Phase
Country of Origin,Made in India
Line Speed,Max 1200 m/min
Phase,Single Phase
Power,"350 Watt"
Phase,"3 phase"
Voltage,"220v"
Voltage,"415 V"
Screw Diameter,"45mm"
Installation Services,Yes
Machine Type,Automatic
Power Source,Electric
Country of Origin,Made in India
Machine Power,"48 - 75 ( kw )"
Thickness,"100 ( Micron )"
Weight,"3 Ton"
Model Name/Number,OEPLMono01
Size,"5 X 5 X 5 to 22 X 8  12 ( L X W X H )"
Lay Flat Width,"300 - 600 to 1600 - 2500 ( mm )"
Plastic Processed,Extruder
Country of Origin,Made in India
Maintenance,No Maintenance
Automation Grade,Semi-Automatic
Phase,Three Phase
Material,alloy steel
Operation Mode,Automatic
Automatic Grade,Automatic
Voltage,"220 V"
Color,Gray
Plastic Processed,Extruder
Voltage,"110-440 V"
Capacity,Upto 5000 litres
Design Type,Standard
Production Capacity,"30 tonne"
Power,"55 KW"
Voltage,"220V"
Phase,Three Phase
Open Style,Sliding
Phase,single
Power,A.C SUPPLY
Weight,"25-30kg"
Installation Services,Yes
Automation Grade,Automatic
Country of Origin,Made in India
I Deal In,New Only
Usage/Application,Industrial
Capacity (kilogram/hour),"75-150 Kg/hr"
Screw Diameter (mm),"32, 40, 45, 55 mm"
Phase,Single
Brand / Model,Candour Technology
Production Capacity,"100 kg/hr"
Material,MS AnitCorrosive Powder Coated Finish
Frequency,"220-230 Voltage"
Body Material,Stainless Steel
Phase,Single Phase
Voltage,"380 V"
Thickness,"12mm"
Working Area,"4000 sqmtr"
Phase,Single
Usage/Application,"Chemical,Pharma Industries"
Frequency,"50 Hz"
Power Source,Electric
Usage/Application,Bitumen Testing
Frequency,"50/60 Hz"
Automation Grade,Manual
Installation Services,No
Phase,single 220
Phase,"3 Phase"
Capacity,"100kg/hr"
Driven Type,Automatic
Condition,Used
Power Source,Electrical
I Deal In,New Only
Installation Services,Yes
Phase,"3 Phase"
Voltage,"380 V"
Output,"1300-1500 Kg/Hour"
Output,"300-350 Kg/Hour"
Voltage,"220  V"
Condition,New
Country of Origin,Made in India
Automation Grade,Yes
Country of Origin,Made in India
Automation Grade,Manual
Voltage,"220 VAC"
Material,FOOTWEAR
Installation Services,Yes
Automation Grade,Semi-Automatic
Film Thickness,"10-50 micron"
Screw Diameter,"35 mm"
Installation Services,Yes
Color,Blue
Voltage (V),"380 Volt"
Power Consumption (kw),"4 kw"
Installation Services,Yes
Brand,CROWN KUMAR
Material,Mild Steel
Brand/Make,SHFT
Installation Services,Yes
Phase,"1 Phase"
Power,"4-10 kW"
Material,Cast Iron
Capacity,"1.5 Liter"
Installation Services,Yes
Speed (RPM),"1500-3000 "
Body Material,MS
Frequency (Hz),"50 Hz"
Voltage (V),"220 V"
Automation Grade,Manual
Condition,New
Power,"0.5 Kw"
Voltage,"440 V"
Capacity, 1-80 t/h
Installation Services,Yes
Installation Services,Yes
Capacity,"15.0 Ton per Batch"
Capacity,"50.0 Ton Per Batch"
Automatic Grade,Automatic
Capacity,"1500gms"
Dimension,"900"
Brand,New
Material,Metal
Color,Blue
I Deal In,New Only
Dimension,"12 x 12"
Body Material,Titanium
Phase,Single
Frequency,Semi Automatic
Motor Power,"1/2 HP"
Country of Origin,Made in India
Brand,mechotechllp
Purity,"999+"
Country of Origin,Made in India
Color,Silver
Voltage,"380 V"
Voltage,"440 V"
Range,"100"
Voltage,"440 V"
Body Material,MS
Body Material,pp/ titanium
Phase,Three Phase
Voltage,"380 V"
Capacity,"300 kg"
Size,X.X.X
Air Volume (m3/h),"1440"
Air Flow,"100%"
Design Type,Customised
Country of Origin,Made in India
Phase,Single Phase
Voltage,"380 V"
Installation Services,Yes
Phase,Three Phase
Usage/Application,Industrial
Usage/Application,Industrial
Line Speed,yes
Model Name/Number,"010"
I Deal In,New Only
Usage/Application,Industrial
Country of Origin,Made in India
Country of Origin,Made in India
Body Material,"PPH, Borosilicate Glass & Titanium"
Installation Services,Yes
Dimension,"10 x 10"
Purity,"99.99"
Automation Grade,Fully Automatic
Phase,Triple
Automation Grade,Semi Automatic
Purity,"99.99"
Voltage,"230"
Font Roll Diameter,Semi Automatic
Line Speed,Semi Automatic
Power,"230"
Country of Origin,Made in India
Automation Grade,Semi Automatic
Installation Services,Yes
Installation Services,Yes
Phase,"3 Phase"
Installation Services,Yes
Body Material,METAL +PP
Power,"2 KW"
Material To Be Extruded,Puff
Design,china
Wire Thickness,"3mm"
Material,Stainless Steel-314
Material To Be Extruded,Plastic
Installation Services,Yes
Body Material,"PP, Glass, Titanium"
