Query,Key Match Count,Value Match Count,GT Unique Keys,Gemini Unique Keys,GT Unique Values,Gemini Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemini: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemini Only Keys
20 hp motor,4,2,5,4,2,2,80.0%,100.0%,motor - motor_type | product_type |||| 20 hp - power | horsepower | hp,20 hp - horsepower | power | hp |||| motor - motor_type,horsepower | hp | motor type | power,20 hp | motor,product type,
200HP Abb Induction Motor,6,2,8,7,3,3,75.0%,66.7%,abb - brand | manufacturer | company |||| induction motor - motor_type | product_type |||| 200 hp - power | horsepower | hp,200HP - power | horsepower | hp |||| Abb - brand | manufacturer |||| Induction Motor - motor_type | type,brand | horsepower | hp | manufacturer | motor type | power,abb | induction motor,company | product type,type
200KW Flange Induction Motor,4,1,5,7,2,3,80.0%,50.0%,induction motor - motor_type | product_type |||| 200 kw - power | kilowatt | wattage,200KW - power | wattage | kilowatt |||| Flange - mounting | mounting_type |||| Induction Motor - motor_type | type,kilowatt | motor type | power | wattage,induction motor,product type,mounting | mounting type | type
200W AC Servo Brake Motor & Drive LSELM1S-0200DH60E-SS,5,0,9,8,4,4,55.6%,0.0%,brake motor - motor_type | product_type |||| 200 w - power | wattage |||| ac - current_type | supply_type |||| 0200DH60E - model_number | part_number | model,200W - power | wattage |||| AC Servo Brake Motor - motor_type | servo |||| Drive - component | accessory |||| LSELM1S-0200DH60E-SS - model_number | part_number,model number | motor type | part number | power | wattage,,current type | model | product type | supply type,accessory | component | servo
20W ALUMINUM HOUSING,2,1,4,6,2,3,50.0%,50.0%,20 w - power | wattage |||| housing - product_category | category,20w - power | wattage |||| aluminum - material | housing_material |||| housing - type | product_type,power | wattage,housing,category | product category,housing material | material | product type | type
20hp Abb Induction Motor,6,2,8,7,3,3,75.0%,66.7%,abb - brand | manufacturer | company |||| induction motor - motor_type | product_type |||| 20 hp - power | horsepower | hp,Abb - brand | manufacturer |||| 20hp - horsepower | power | hp |||| Induction Motor - motor_type | type,brand | horsepower | hp | manufacturer | motor type | power,abb | induction motor,company | product type,type
20w fan dc motor,5,2,8,6,4,3,62.5%,50.0%,dc motor - motor_type | product_type |||| 20 w - power | wattage |||| dc - current_type | supply_type |||| fan - application | use,20w - power | wattage |||| fan - application | use |||| dc motor - motor_type | dc,application | motor type | power | use | wattage,dc motor | fan,current type | product type | supply type,dc
220  v 1 dual shaft BLOWER FAN MOTOR,6,1,8,7,4,4,75.0%,25.0%,fan motor - motor_type | product_type |||| 220v - voltage | supply_voltage |||| fan - application | use |||| dual shaft - shaft_type | shaft,220 v - voltage | volt |||| dual shaft - shaft_type | shaft |||| blower fan - application | use |||| motor - motor_type,application | motor type | shaft | shaft type | use | voltage,dual shaft,product type | supply voltage,volt
220 v dual shaft BLOWER FAN MOTOR,4,1,8,6,4,3,50.0%,25.0%,fan motor - motor_type | product_type |||| 220v - voltage | supply_voltage |||| fan - application | use |||| dual shaft - shaft_type | shaft,220 v - voltage | volt |||| dual shaft - shaft_type | feature |||| blower fan motor - application | motor_type,application | motor type | shaft type | voltage,dual shaft,product type | shaft | supply voltage | use,feature | volt
220hp 960 rpm ELECTRIC MOTOR,7,1,8,7,3,3,87.5%,33.3%,motor - motor_type | product_type |||| 220 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed,220hp - horsepower | power | hp |||| 960 rpm - rpm | speed |||| electric motor - product_type | motor_type,horsepower | hp | motor type | power | product type | rpm | speed,960 rpm,rated speed,
2283752193 motor6v 20a,1,1,2,8,1,4,50.0%,100.0%,6v - voltage | supply_voltage,2283752193 - part_number | model_number |||| 6v - voltage | volt |||| 20a - current | amperage | amp |||| motor - motor_type,voltage,6v,supply voltage,amp | amperage | current | model number | motor type | part number | volt
2285625342 statorhv 2030,0,0,0,6,0,3,N/A,N/A,,2285625342 - part_number | product_code |||| statorhv - component | part_name |||| 2030 - model | series,,,,component | model | part name | part number | product code | series
230v apex cool 410w exhaust fan motor,5,1,8,8,5,4,62.5%,20.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| 410 w - power | wattage |||| 230v - voltage | supply_voltage |||| fan - application | use,230v - voltage | volt |||| apex cool - brand | manufacturer |||| 410w - power | wattage |||| exhaust fan motor - application | motor_type,application | motor type | power | voltage | wattage,230v,product type | supply voltage | use,brand | manufacturer | volt
23a paramoon motor starter,1,0,4,6,2,3,25.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,23a - current | ampere | amps |||| paramoon - brand |||| motor starter - product_type | type,product type,,application | motor type | use,ampere | amps | brand | current | type
24  v 10 bldc 50w 24v 3000rpm,6,1,9,8,4,4,66.7%,25.0%,bldc motor - motor_type | product_type |||| 50 w - power | wattage |||| 24v - voltage | supply_voltage |||| 3000 rpm - speed | rpm | rated_speed,24v - voltage | volt |||| bldc - motor_type | brushless_dc |||| 50w - power | wattage |||| 3000rpm - rpm | speed,motor type | power | rpm | speed | voltage | wattage,24v,product type | rated speed | supply voltage,brushless dc | volt
24 inch three phase 4 exhaust fan fibre,0,0,4,0,2,0,0.0%,0.0%,three phase - phase | supply_phase |||| fan - application | use,,,,application | phase | supply phase | use,
24v dc coffee machine motor,3,3,6,6,3,4,50.0%,100.0%,motor - motor_type | product_type |||| 24v - voltage | supply_voltage |||| dc - current_type | supply_type,24v - voltage | volt |||| dc - motor_type | current_type |||| coffee machine - application | use |||| motor - motor_type,current type | motor type | voltage,24v | dc | motor,product type | supply type | supply voltage,application | use | volt
25 Amp Motor Starter Fresh Material,1,0,4,7,2,3,25.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,25 Amp - current_rating | amperage | amp |||| Motor Starter - product_type | type |||| Fresh Material - material_condition | condition,product type,,application | motor type | use,amp | amperage | condition | current rating | material condition | type
270Hp Siemens Motor,6,2,8,6,3,3,75.0%,66.7%,siemens - brand | manufacturer | company |||| motor - motor_type | product_type |||| 270 hp - power | horsepower | hp,270Hp - horsepower | power | hp |||| Siemens - brand | manufacturer |||| Motor - motor_type,brand | horsepower | hp | manufacturer | motor type | power,motor | siemens,company | product type,
2800  rpm 4 abb electric motor,4,2,8,6,3,4,50.0%,66.7%,abb - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2800 rpm - speed | rpm | rated_speed,2800 rpm - rpm | speed |||| abb - brand |||| electric motor - motor_type |||| 4 - poles | pole_count,brand | motor type | rpm | speed,2800 rpm | abb,company | manufacturer | product type | rated speed,pole count | poles
2800  rpm 4 foot  mounted abb electric motor,0,0,10,0,4,0,0.0%,0.0%,abb - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2800 rpm - speed | rpm | rated_speed |||| foot mount - mounting_type | mounting,,,,brand | company | manufacturer | motor type | mounting | mounting type | product type | rated speed | rpm | speed,
2800 rpm foot mounted abb electric motor,7,2,10,8,4,4,70.0%,50.0%,abb - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2800 rpm - speed | rpm | rated_speed |||| foot mount - mounting_type | mounting,2800 rpm - rpm | speed |||| foot mounted - mounting | mounting_type |||| abb - brand | manufacturer |||| electric motor - motor_type | type,brand | manufacturer | motor type | mounting | mounting type | rpm | speed,2800 rpm | abb,company | product type | rated speed,type
2hp motor,4,1,5,4,2,2,80.0%,50.0%,motor - motor_type | product_type |||| 2 hp - power | horsepower | hp,2hp - horsepower | power | hp |||| motor - motor_type,horsepower | hp | motor type | power,motor,product type,
2hp single phase motor cg model gf7010,8,2,13,9,5,4,61.5%,40.0%,cg power - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| gf7010 - model_number | part_number | model,cg - brand | manufacturer |||| 2hp - horsepower | power | hp |||| single phase - phase | phase_type |||| gf7010 - model | model_number,brand | horsepower | hp | manufacturer | model | model number | phase | power,gf7010 | single phase,company | motor type | part number | product type | supply phase,phase type
2hp single phase motor near kolkata cg model no gf7010,6,1,10,12,4,5,60.0%,25.0%,cg power - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| single phase - phase | supply_phase,2hp - horsepower | power | hp |||| single phase - phase | phase_type |||| cg - brand | manufacturer | crompton_greaves |||| gf7010 - model_number | mpn |||| kolkata - location | city,brand | horsepower | hp | manufacturer | phase | power,single phase,company | motor type | product type | supply phase,city | crompton greaves | location | model number | mpn | phase type
3 HP 3 Phase Induction Motor 100%copper Winding,5,2,7,10,3,4,71.4%,66.7%,induction motor - motor_type | product_type |||| 3 hp - power | horsepower | hp |||| three phase - phase | supply_phase,3 HP - horsepower | power | hp |||| 3 Phase - phase | phase_type |||| Induction Motor - motor_type | type |||| 100%copper - winding_material | winding | material,horsepower | hp | motor type | phase | power,3 hp | induction motor,product type | supply phase,material | phase type | type | winding | winding material
3 HP Three Phase Induction Motor 960 Rpm,7,4,10,9,4,4,70.0%,100.0%,induction motor - motor_type | product_type |||| 3 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| 960 rpm - speed | rpm | rated_speed,3 HP - horsepower | power | hp |||| Three Phase - phase | phase_type |||| Induction Motor - motor_type | type |||| 960 Rpm - rpm | speed,horsepower | hp | motor type | phase | power | rpm | speed,3 hp | 960 rpm | induction motor | three phase,product type | rated speed | supply phase,phase type | type
3 Phase Electric Motor,2,0,4,5,2,2,50.0%,0.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase,3 Phase - phase | phase_type |||| Electric Motor - product_type | category | type,phase | product type,,motor type | supply phase,category | phase type | type
3 Phase Induction Motor,2,1,4,4,2,2,50.0%,50.0%,induction motor - motor_type | product_type |||| three phase - phase | supply_phase,induction motor - motor_type | technology |||| 3 phase - phase | phase_type,motor type | phase,induction motor,product type | supply phase,phase type | technology
3 Phase Motor Starter,2,0,6,4,3,2,33.3%,0.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,motor starter - product_type | type |||| 3 phase - phase | phase_type,phase | product type,,application | motor type | supply phase | use,phase type | type
3 phase 15hp motor starter,5,0,9,7,4,3,55.6%,0.0%,motor - motor_type | product_type |||| 15 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| starter - application | use,motor starter - product_type | type |||| 3 phase - phase | phase_type |||| 15hp - horsepower | power | hp,horsepower | hp | phase | power | product type,,application | motor type | supply phase | use,phase type | type
3 phase 2 piece l&t Motor Starter,4,1,9,8,4,4,44.4%,25.0%,l&t - brand | manufacturer | company |||| motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,3 phase - phase | phase_type |||| 2 piece - quantity | pack_size |||| l&t - brand | manufacturer |||| Motor Starter - product_type | category,brand | manufacturer | phase | product type,l&t,application | company | motor type | supply phase | use,category | pack size | phase type | quantity
3 phase 40 hp oil starter,4,1,9,7,3,3,44.4%,33.3%,40 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| starter - application | use |||| starter - product_category | category,3 phase - phase | phase_type |||| 40 hp - horsepower | power | hp |||| oil starter - product_type | starter_type,horsepower | hp | phase | power,40 hp,application | category | product category | supply phase | use,phase type | product type | starter type
3 phase 415 V 0.09KW Motor,6,1,9,8,4,4,66.7%,25.0%,motor - motor_type | product_type |||| 0.09 kw - power | kilowatt | wattage |||| 415v - voltage | supply_voltage |||| three phase - phase | supply_phase,0.09KW - power | wattage | kilowatt |||| 3 phase - phase | phase_type |||| 415 V - voltage | volt |||| Motor - motor_type,kilowatt | motor type | phase | power | voltage | wattage,motor,product type | supply phase | supply voltage,phase type | volt
3 phase auto starter,0,0,6,0,2,0,0.0%,0.0%,three phase - phase | supply_phase |||| starter - application | use |||| starter - product_category | category,,,,application | category | phase | product category | supply phase | use,
3 phase dol motor starter,3,0,6,6,3,3,50.0%,0.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,3 phase - phase | phase_type |||| dol - starter_type | type |||| motor starter - product_type | application,application | phase | product type,,motor type | supply phase | use,phase type | starter type | type
