Query,Key Match Count,Value Match Count,GT Unique Keys,QMeans Unique Keys,GT Unique Values,QMeans Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),QMeans: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,QMeans Only Keys
2hp motor,1,1,5,2,2,2,20.0%,50.0%,motor - motor_type | product_type |||| 2 hp - power | horsepower | hp,2hp - power |||| motor - part type,power,motor,horsepower | hp | motor type | product type,part type
2hp single phase motor cg model gf7010,2,2,13,3,5,3,15.4%,40.0%,cg power - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| gf7010 - model_number | part_number | model,2hp - power |||| gf7010 - model name/number |||| single phase - phase,phase | power,gf7010 | single phase,brand | company | horsepower | hp | manufacturer | model | model number | motor type | part number | product type | supply phase,model name/number
2hp single phase motor near kolkata cg model no gf7010,2,1,10,3,4,3,20.0%,25.0%,cg power - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| single phase - phase | supply_phase,2hp - power |||| gf7010 - model name/number |||| single phase - phase,phase | power,single phase,brand | company | horsepower | hp | manufacturer | motor type | product type | supply phase,model name/number
3 HP 3 Phase Induction Motor 100%copper Winding,1,0,7,2,3,2,14.3%,0.0%,induction motor - motor_type | product_type |||| 3 hp - power | horsepower | hp |||| three phase - phase | supply_phase,3 hp 3 - rated power |||| induction - motor type,motor type,,horsepower | hp | phase | power | product type | supply phase,rated power
3 HP Three Phase Induction Motor 960 Rpm,2,3,10,4,4,4,20.0%,75.0%,induction motor - motor_type | product_type |||| 3 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| 960 rpm - speed | rpm | rated_speed,3 hp - rated power |||| 960 rpm - speed |||| induction - motor type |||| three phase - no of phase,motor type | speed,3 hp | 960 rpm | three phase,horsepower | hp | phase | power | product type | rated speed | rpm | supply phase,no of phase | rated power
3 Phase Electric Motor,1,0,4,2,2,2,25.0%,0.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase,3 phase - phase |||| electric - power source,phase,,motor type | product type | supply phase,power source
3 Phase Motor Starter,1,0,6,2,3,2,16.7%,0.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,3 phase - phase |||| motor starter - usage,phase,,application | motor type | product type | supply phase | use,usage
3 phase 15hp motor starter,2,0,9,3,4,3,22.2%,0.0%,motor - motor_type | product_type |||| 15 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| starter - application | use,15hp - power |||| 3 phase - phase |||| motor starter - usage,phase | power,,application | horsepower | hp | motor type | product type | supply phase | use,usage
3 phase 2 piece l&t Motor Starter,2,1,9,4,4,4,22.2%,25.0%,l&t - brand | manufacturer | company |||| motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,2 piece - set contains |||| 3 phase - phase |||| l&t - brand |||| motor starter - usage,brand | phase,l&t,application | company | manufacturer | motor type | product type | supply phase | use,set contains | usage
3 phase 40 hp oil starter,2,1,9,2,3,2,22.2%,33.3%,40 hp - power | horsepower | hp |||| three phase - phase | supply_phase |||| starter - application | use |||| starter - product_category | category,3 phase - phase |||| 40 hp - power,phase | power,40 hp,application | category | horsepower | hp | product category | supply phase | use,
3 phase 415 V 0.09KW Motor,2,0,9,2,4,2,22.2%,0.0%,motor - motor_type | product_type |||| 0.09 kw - power | kilowatt | wattage |||| 415v - voltage | supply_voltage |||| three phase - phase | supply_phase,0.09kw - power |||| 415 v - voltage,power | voltage,,kilowatt | motor type | phase | product type | supply phase | supply voltage | wattage,
3 phase auto starter,1,0,6,1,2,1,16.7%,0.0%,three phase - phase | supply_phase |||| starter - application | use |||| starter - product_category | category,3 phase - phase,phase,,application | category | product category | supply phase | use,
3 phase dol motor starter,1,0,6,3,3,3,16.7%,0.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,3 phase - phase |||| dol - starter type |||| motor starter - usage,phase,,application | motor type | product type | supply phase | use,starter type | usage
3 phase motor start,1,1,4,2,2,2,25.0%,50.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase,3 phase - phase |||| motor - usage,phase,motor,motor type | product type | supply phase,usage
3 phase motor starter near jodhpur oil free,1,0,6,2,3,2,16.7%,0.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,3 phase - phase |||| motor starter - usage,phase,,application | motor type | product type | supply phase | use,usage
3 phase motor starter near jodhpur oil freee automatic,1,0,6,3,3,3,16.7%,0.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,3 phase - phase |||| automatic - starter type |||| motor starter - usage,phase,,application | motor type | product type | supply phase | use,starter type | usage
3 phase motor starter near jodhpur without oilautomatic,1,0,6,2,3,2,16.7%,0.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,3 phase - phase |||| motor starter - usage,phase,,application | motor type | product type | supply phase | use,usage
3 phase motor starter oil free,1,0,6,2,3,2,16.7%,0.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,3 phase - phase |||| motor starter - usage,phase,,application | motor type | product type | supply phase | use,usage
3 phase motor starter oil free automatic,1,0,6,3,3,3,16.7%,0.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,3 phase - phase |||| automatic - starter type |||| motor starter - usage,phase,,application | motor type | product type | supply phase | use,starter type | usage
3 phase motor starter without oil automatic,1,0,6,3,3,3,16.7%,0.0%,motor - motor_type | product_type |||| three phase - phase | supply_phase |||| starter - application | use,3 phase - phase |||| automatic - starter type |||| motor starter - usage,phase,,application | motor type | product type | supply phase | use,starter type | usage
3-phase-motor-starter,0,0,4,1,2,1,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,3-phase-motor-starter - phase,,,application | motor type | product type | use,phase
3.7 kw crompton greaves induction motor,2,2,8,3,3,3,25.0%,66.7%,crompton greaves - brand | manufacturer | company |||| induction motor - motor_type | product_type |||| 3.7 kw - power | kilowatt | wattage,3.7 kw - rated power |||| crompton - brand |||| induction motor - motor type,brand | motor type,3.7 kw | induction motor,company | kilowatt | manufacturer | power | product type | wattage,rated power
3000  rpm 24  v 10 bldc 50w 24v 3000rpm,3,1,9,3,4,3,33.3%,25.0%,bldc motor - motor_type | product_type |||| 50 w - power | wattage |||| 24v - voltage | supply_voltage |||| 3000 rpm - speed | rpm | rated_speed |||| 3000 rpm - speed | rpm | rated_speed,24 v - voltage |||| 3000 rpm - speed |||| 50w - power,power | speed | voltage,3000 rpm,motor type | product type | rated speed | rpm | supply voltage | wattage,
3000 rpm 24 v bldc 50w 24v 3000rpm,3,1,9,3,4,3,33.3%,25.0%,bldc motor - motor_type | product_type |||| 50 w - power | wattage |||| 24v - voltage | supply_voltage |||| 3000 rpm - speed | rpm | rated_speed |||| 3000 rpm - speed | rpm | rated_speed,24 v - voltage |||| 3000 rpm - speed |||| 50w - power,power | speed | voltage,3000 rpm,motor type | product type | rated speed | rpm | supply voltage | wattage,
30HP 960 RPM ELECTRIC MOTOR,0,0,8,1,3,1,0.0%,0.0%,motor - motor_type | product_type |||| 30 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed,30hp - motor hp,,,horsepower | hp | motor type | power | product type | rated speed | rpm | speed,motor hp
315 KW 1450 RPM ELECTEIC MOTOR,2,2,8,2,3,2,25.0%,66.7%,motor - motor_type | product_type |||| 315 kw - power | kilowatt | wattage |||| 1450 rpm - speed | rpm | rated_speed,1450 rpm - speed |||| 315 kw - power,power | speed,1450 rpm | 315 kw,kilowatt | motor type | product type | rated speed | rpm | wattage,
3330601 Cummins Electronic Fuel Control Actuator,0,0,4,3,1,3,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,3330601 - model name/number |||| cummins - brand |||| fuel control actuator - actuator type,,,application | category | product category | use,actuator type | brand | model name/number
370W Electric Sliding Gate Motor,1,0,4,3,2,3,25.0%,0.0%,motor - motor_type | product_type |||| 370 w - power | wattage,370w - power |||| electric - power source |||| sliding gate - usage,power,,motor type | product type | wattage,power source | usage
39 HS 02 Two Phase Stepper Motor,1,1,2,3,1,3,50.0%,100.0%,stepper motor - motor_type | product_type,39 hs 02 - model name/number |||| stepper motor - motor type |||| two phase - phase,motor type,stepper motor,product type,model name/number | phase
3d minuture,0,0,2,1,1,1,0.0%,0.0%,miniature - product_category | category,3d - type,,,category | product category,type
40 HP  Siemens Electric Motors,2,2,8,3,3,3,25.0%,66.7%,siemens - brand | manufacturer | company |||| motor - motor_type | product_type |||| 40 hp - power | horsepower | hp,40 hp - power |||| electric - power source |||| siemens - brand,brand | power,40 hp | siemens,company | horsepower | hp | manufacturer | motor type | product type,power source
4000w bldc motor / 4kw bldc motor for electric car / electric motor for gokart,2,0,7,4,5,4,28.6%,0.0%,bldc motor - motor_type | product_type |||| dc motor - motor_type | product_type |||| 4 kw - power | kilowatt | wattage |||| 4000 w - power | wattage |||| automotive - application | use,4000w - power |||| bldc - motor type |||| car - usage |||| electric - power source,motor type | power,,application | kilowatt | product type | use | wattage,power source | usage
42 HS 02 Two Phase Stepper Motor,1,1,2,3,1,3,50.0%,100.0%,stepper motor - motor_type | product_type,42 hs 02 - model name/number |||| stepper motor - motor type |||| two phase - phase,motor type,stepper motor,product type,model name/number | phase
4HP Single Phase Electric Motor 220-240V 50-60Hz for Air Compressor,2,1,11,6,5,6,18.2%,20.0%,motor - motor_type | product_type |||| 4 hp - power | horsepower | hp |||| 240v - voltage | supply_voltage |||| single phase - phase | supply_phase |||| compressor - application | use,220-240v - voltage |||| 4hp - power |||| 50-60hz - frequency |||| air compressor - usage |||| electric - power source |||| single phase - no of phase,power | voltage,single phase,application | horsepower | hp | motor type | phase | product type | supply phase | supply voltage | use,frequency | no of phase | power source | usage
5 HP Three Phase Motor,1,2,7,2,3,2,14.3%,66.7%,motor - motor_type | product_type |||| 5 hp - power | horsepower | hp |||| three phase - phase | supply_phase,5 hp - power |||| three phase - no of phase,power,5 hp | three phase,horsepower | hp | motor type | phase | product type | supply phase,no of phase
5 In 1 Magic Brush,0,0,2,1,1,1,0.0%,0.0%,brush - product_category | category,5 in 1 - features,,,category | product category,features
5 sliding piece 800 kg Gate Motor,0,0,2,4,1,4,0.0%,0.0%,motor - motor_type | product_type,5 - set contains |||| 800 kg - weight capacity |||| gate - usage |||| sliding - open style,,,motor type | product type,open style | set contains | usage | weight capacity
5 watts motor rexnord rec-8313-05-a2,1,0,4,3,2,3,25.0%,0.0%,motor - motor_type | product_type |||| 5 w - power | wattage,5 watts - power |||| rec-8313-05-a2 - model name/number |||| rexnord - brand,power,,motor type | product type | wattage,brand | model name/number
50 n 100 mm linear motor,0,0,2,1,1,1,0.0%,0.0%,linear motor - motor_type | product_type,100 mm - diameter,,,motor type | product type,diameter
500 rpm mig pmdc motor 24v/42v,3,1,7,3,4,3,42.9%,25.0%,dc motor - motor_type | product_type |||| 24v - voltage | supply_voltage |||| 42v - voltage | supply_voltage |||| 500 rpm - speed | rpm | rated_speed,24v/42v - voltage |||| 500 rpm - speed |||| pmdc - motor type,motor type | speed | voltage,500 rpm,product type | rated speed | rpm | supply voltage,
50HP Abb Electric Motor,2,2,8,4,3,4,25.0%,66.7%,abb - brand | manufacturer | company |||| motor - motor_type | product_type |||| 50 hp - power | horsepower | hp,50hp - power |||| abb - brand |||| electric - power source |||| motor - product,brand | power,abb | motor,company | horsepower | hp | manufacturer | motor type | product type,power source | product
50W Wall Fan Motor,1,0,6,2,3,2,16.7%,0.0%,fan motor - motor_type | product_type |||| 50 w - power | wattage |||| fan - application | use,50w - power |||| wall fan - usage,power,,application | motor type | product type | use | wattage,usage
57 HS 09 Two Phase Stepper Motor,1,1,2,3,1,3,50.0%,100.0%,stepper motor - motor_type | product_type,57 hs 09 - model name/number |||| stepper motor - motor type |||| two phase - phase,motor type,stepper motor,product type,model name/number | phase
57 HS 13 Two Phase Stepper Motor,1,1,2,3,1,3,50.0%,100.0%,stepper motor - motor_type | product_type,57 hs 13 - model name/number |||| stepper motor - motor type |||| two phase - phase,motor type,stepper motor,product type,model name/number | phase
57 HS 22 Two Phase Stepper Motor,1,1,2,3,1,3,50.0%,100.0%,stepper motor - motor_type | product_type,57 hs 22 - model name/number |||| stepper motor - motor type |||| two phase - phase,motor type,stepper motor,product type,model name/number | phase
